NAME,CLUBS,ATWins,ATLosses,winRatio,poolWins,poolLosses,poolWinRatio,DEWins,DELosses,DEWinRatio
"
                    Leonid Kotov",Phoenix Fencing Academy / Salt City Swords Fencing Club,319,270,54.2%,228,202,53.0%,91,68,57.2%
"
                    Roger WU",University Of California San Diego NCAA / LA Fencing Academy of Pomona,317,117,73.0%,213,73,74.5%,104,44,70.3%
"
                    Andreas Wai",Kaizen Academy LLC,85,141,37.6%,64,111,36.6%,21,30,41.2%
"
                    Andrew Crowder",Rhode Island Fencing Academy And Club,22,16,57.9%,16,11,59.3%,6,5,54.5%
"
                    Ethan Agaon",Medeo Fencing Club / Freehold Fencing Academy,301,229,56.8%,229,160,58.9%,72,69,51.1%
"
                    Harry Dweck",Freehold Fencing Academy,6,1,85.7%,4,1,80.0%,2,-,100.0%
"
                    Aria Hammerstrom",Nellya Fencers,264,244,52.0%,199,178,52.8%,65,66,49.6%
"
                    Anika Breker",Rhode Island Fencing Academy And Club,333,166,66.7%,240,106,69.4%,93,60,60.8%
"
                    Lawrence Tan",Brooklyn Bridge Fencing Club / Golubitsky Fencing Center,68,33,67.3%,47,23,67.1%,21,10,67.7%
"
                    Alissa Remeza",Fencing Academy Of Westchester,282,141,66.7%,218,89,71.0%,64,52,55.2%
"
                    Gabriel Hall",Fencing Center Of Chicago,65,69,48.5%,42,53,44.2%,23,16,59.0%
"
                    Marketa Douglas",Rhode Island Fencing Academy And Club,155,150,50.8%,122,111,52.4%,33,39,45.8%
"
                    Sophie Huang",Tim Morehouse Fencing Club (Port Chester) / Fencers School Of Connecticut,73,97,42.9%,59,73,44.7%,14,24,36.8%
"
                    Samuel Craig",Globus Fencing Academy,360,207,63.5%,254,142,64.1%,106,65,62.0%
"
                    Nicholas Candela",University Of Notre Dame NCAA / Battle Born Fencing Club,388,127,75.3%,265,79,77.0%,123,48,71.9%
"
                    Alexander Pi",PDX Fencing,396,233,63.0%,279,168,62.4%,117,65,64.3%
"
                    Zolie Malek",Boston Fencing Club,400,214,65.1%,285,142,66.7%,115,72,61.5%
"
                    Jack O'Brien",Brooklyn Bridge Fencing Club,92,66,58.2%,68,48,58.6%,24,18,57.1%
"
                    William Zhou",Globus Fencing Academy,161,199,44.7%,131,149,46.8%,30,50,37.5%
"
                    Heila Pearson",US Air Force Academy NCAA University / Front Range Fencing Club,207,174,54.3%,168,121,58.1%,39,53,42.4%
"
                    William Zhang",RedStar Fencing Club Chicago,145,83,63.6%,100,58,63.3%,45,25,64.3%
"
                    Alexander Wendler",North Bay Fencing Academy / Davis Fencing Academy,33,12,73.3%,22,9,71.0%,11,3,78.6%
"
                    David Drake",Team Touche Fencing Center,69,71,49.3%,53,52,50.5%,16,19,45.7%
"
                    Anna Quinn",Northwest Fencing Center,184,332,35.7%,150,264,36.2%,34,68,33.3%
"
                    Fajr Elkhateeb",Platinum Fencing Academy / Platinum Fencing Academy,68,77,46.9%,54,58,48.2%,14,19,42.4%
"
                    Shadi Resheidat",Indianapolis Fencing Club,67,42,61.5%,52,28,65.0%,15,14,51.7%
"
                    Ayush Deshmukh",Austin Fencers Club,176,174,50.3%,128,138,48.1%,48,36,57.1%
"
                    Aaron Augustine",Gutkovskiy Fencing Academy,546,428,56.1%,411,309,57.1%,135,119,53.1%
"
                    Mingyang Ryan Liu",Bergen Fencing Club,474,516,47.9%,385,384,50.1%,89,132,40.3%
"
                    Ethan Wen",Freehold Fencing Academy,98,189,34.1%,76,147,34.1%,22,42,34.4%
"
                    Matt Kazan",The Phoenix Center / Boston Fencing Club,36,26,58.1%,23,17,57.5%,13,9,59.1%
"
                    Gerrit Hostetter",Purdue Fencing Club-Purdue Univ. / Indianapolis Fencing Club,6,7,46.2%,4,5,44.4%,2,2,50.0%
"
                    Leo Blondel",Forge Fencing Teams,25,13,65.8%,17,8,68.0%,8,5,61.5%
"
                    William Calkins",Rochester Fencing Club,40,40,50.0%,32,30,51.6%,8,10,44.4%
"
                    Zara Pehlivani",Battle Born Fencing Club,386,212,64.5%,280,142,66.4%,106,70,60.2%
"
                    Tommy Ding",Birmingham Fencing Club,79,73,52.0%,53,54,49.5%,26,19,57.8%
"
                    Austin Carter",Penta Olympic Fencing Club,186,126,59.6%,133,90,59.6%,53,36,59.6%
"
                    Henry Sun",Pittsburgh Fencers Club,143,139,50.7%,107,103,51.0%,36,36,50.0%
"
                    Thomas Jackson",Kaizen Academy LLC,77,97,44.3%,59,72,45.0%,18,25,41.9%
"
                    David Willette",Massialas Foundation (M Team),-,-,-,-,-,-,-,-,-
"
                    Daniel Thompson",Foothills Fencing Academy,58,36,61.7%,44,25,63.8%,14,11,56.0%
"
                    Alexander Jeffords",South Bay Fencing Academy,448,207,68.4%,320,139,69.7%,128,68,65.3%
"
                    Joshua Potter",Heartland Fencing Academy,23,5,82.1%,13,3,81.2%,10,2,83.3%
"
                    Jon Graff",Cobra Fencing Club LLC,80,81,49.7%,60,59,50.4%,20,22,47.6%
"
                    Gerek Meinhardt ",Massialas Foundation (M Team) / Bluegrass Fencers' Club,124,13,90.5%,66,5,93.0%,58,8,87.9%
"
                    Sophia Flatt",Bergen Fencing Club / Olympian Fencing Studio,250,303,45.2%,202,228,47.0%,48,75,39.0%
"
                    Sela Feig",Bergen Fencing Club,341,238,58.9%,252,167,60.1%,89,71,55.6%
"
                    Jayden Hausler",Hills Fencing Institute (H3),27,88,23.5%,20,71,22.0%,7,17,29.2%
"
                    Gary North",Penta Olympic Fencing Club,288,122,70.2%,196,86,69.5%,92,36,71.9%
"
                    Jack Riley Armistead",Fencing Club at Auburn University / Birmingham Fencing Club,50,16,75.8%,37,9,80.4%,13,7,65.0%
"
                    Hudson Rowland",Moe Fencing Club LLC,7,3,70.0%,5,2,71.4%,2,1,66.7%
"
                    Henry Woodcock",Brooklyn Bridge Fencing Club,61,89,40.7%,49,68,41.9%,12,21,36.4%
"
                    Isabella Favo",Elite Fencing Academy (GA),441,244,64.4%,332,159,67.6%,109,85,56.2%
"
                    Ben Gilsbach",Texas Fencing Academy,25,50,33.3%,19,41,31.7%,6,9,40.0%
"
                    Ishika Chawla",Penta Olympic Fencing Club,19,35,35.2%,17,28,37.8%,2,7,22.2%
"
                    Pranav Arora",Bergen Fencing Club,58,161,26.5%,39,131,22.9%,19,30,38.8%
"
                    Xiangrui He",Star Fencing Academy / Shoreline Fencers Club,201,123,62.0%,152,82,65.0%,49,41,54.4%
"
                    Nikita Kogan",Advance Fencing And Fitness Academy,150,179,45.6%,122,136,47.3%,28,43,39.4%
"
                    Angelina LeLe Yang",LA Fencing Academy of Pomona,309,199,60.8%,235,140,62.7%,74,59,55.6%
"
                    David Smith",Princeton University NCAA / Fencing Academy Of Denver,246,136,64.4%,174,98,64.0%,72,38,65.5%
"
                    Alexander Ju",RedStar Fencing Club Chicago / Fencers Club Inc.,71,41,63.4%,52,28,65.0%,19,13,59.4%
"
                    Ivan Zagoruiko",North Shore Fencers Club,97,37,72.4%,69,25,73.4%,28,12,70.0%
"
                    Hallie Tiburzi",Freehold Fencing Academy,91,71,56.2%,68,49,58.1%,23,22,51.1%
"
                    Yue Peng",Penta Olympic Fencing Club,131,109,54.6%,101,79,56.1%,30,30,50.0%
"
                    Alexandra Dickinson",Indianapolis Fencing Club / Orion Fencing,41,26,61.2%,32,18,64.0%,9,8,52.9%
"
                    Neta Korol",University Of California San Diego NCAA / Maximum Fencing Club,568,342,62.4%,411,235,63.6%,157,107,59.5%
"
                    Connor McDonald",South Denver Fencing Academy,123,206,37.4%,94,159,37.2%,29,47,38.2%
"
                    Riley Parker",Texas Fencing Academy,185,211,46.7%,151,163,48.1%,34,48,41.5%
"
                    Lea Yang",South Bay Fencing Academy,474,412,53.5%,365,307,54.3%,109,105,50.9%
"
                    Abdelrahman Tolba",Star Fencing Academy,625,164,79.2%,403,95,80.9%,222,69,76.3%
"
                    Matthew Dao",Johns Hopkins University NCAA / Battle Born Fencing Club,361,166,68.5%,261,111,70.2%,100,55,64.5%
"
                    Benjamin Freiman",Woodlands International Fencing Club / Houston Sword Sports,5,3,62.5%,4,2,66.7%,1,1,50.0%
"
                    Bora Akyamac",Manchen Academy Of Fencing / Medeo Fencing Club,446,260,63.2%,322,176,64.7%,124,84,59.6%
"
                    Vasil Atanassov",Oregon Fencing Alliance,605,197,75.4%,405,126,76.3%,200,71,73.8%
"
                    Brian Kaneshige",New Jersey Fencing Alliance,66,13,83.5%,42,5,89.4%,24,8,75.0%
"
                    Julia Babiac",Fencing Academy Of Westchester,116,80,59.2%,86,55,61.0%,30,25,54.5%
"
                    George Spriggs",Houston Sword Sports,-,-,-,-,-,-,-,-,-
"
                    Andy (Sung-moon) Shin",Olympic Fencers Club / Kennesaw State University,225,67,77.1%,145,48,75.1%,80,19,80.8%
"
                    Ethan Cannaert",Davis Fencing Academy / University of California Davis,21,11,65.6%,15,7,68.2%,6,4,60.0%
"
                    Jay Wendell",Seacoast Fencing Club,4,22,15.4%,4,20,16.7%,-,2,0.0%
"
                    Eric Zhang",Olympic Fencers Club,181,140,56.4%,136,101,57.4%,45,39,53.6%
"
                    Samuel Larsen",Northwest Fencing Center,215,67,76.2%,140,48,74.5%,75,19,79.8%
"
                    Dylan Carr",Manchen Academy Of Fencing,16,5,76.2%,12,3,80.0%,4,2,66.7%
"
                    Jonathan Tiomkin ",5T Fencers Club,-,-,-,-,-,-,-,-,-
"
                    Mirka Ramirez",South Bay Fencing Academy,392,271,59.1%,290,200,59.2%,102,71,59.0%
"
                    Nikita Basok",Fencing Academy Of Westchester,275,256,51.8%,221,186,54.3%,54,70,43.5%
"
                    christopher chong",Penta Olympic Fencing Club,520,232,69.1%,360,152,70.3%,160,80,66.7%
"
                    Skipper Cortright",Bay Area Fencing Club,780,380,67.2%,555,252,68.8%,225,128,63.7%
"
                    Houston Fullerton",Olympic Fencers Club,229,96,70.5%,143,75,65.6%,86,21,80.4%
"
                    Matthew Han",Olympic Fencers Club,184,82,69.2%,136,57,70.5%,48,25,65.8%
"
                    Julia Shi",Bergen Fencing Club / Boston Fencing Club,139,73,65.6%,90,52,63.4%,49,21,70.0%
"
                    Clayton Wang",Penta Olympic Fencing Club,228,200,53.3%,171,145,54.1%,57,55,50.9%
"
                    James Bourtis",New York Athletic Club / Rochester Fencing Club,202,61,76.8%,140,32,81.4%,62,29,68.1%
"
                    Kevin Bae",University Of Notre Dame NCAA / Gutkovskiy Fencing Academy,753,470,61.6%,541,338,61.5%,212,132,61.6%
"
                    Ouen Leip",PDX Fencing,21,74,22.1%,16,59,21.3%,5,15,25.0%
"
                    Caitlyn Park",Gutkovskiy Fencing Academy,131,182,41.9%,99,147,40.2%,32,35,47.8%
"
                    Steven Griffiths",Rockland Fencers Club,-,-,-,-,-,-,-,-,-
"
                    Nora Gutkovskaya",Gutkovskiy Fencing Academy,132,91,59.2%,105,60,63.6%,27,31,46.6%
"
                    Ellie Kinkade",Oregon Fencing Alliance,287,181,61.3%,218,121,64.3%,69,60,53.5%
"
                    Henry Lange",Northwest Fencing Center / Northwest Fencing Center,176,69,71.8%,119,48,71.3%,57,21,73.1%
"
                    Ryan Sloan",East Bay Fencers Gym / East Bay Fencers Gym,52,95,35.4%,43,74,36.8%,9,21,30.0%
"
                    Eric Wang",Purdue Fencing Club-Purdue Univ. / Birmingham Fencing Club,112,40,73.7%,70,25,73.7%,42,15,73.7%
"
                    Justin Keyo",Worcester Fencing Club,13,6,68.4%,8,4,66.7%,5,2,71.4%
"
                    Spencer Collymore",Vivo Fencing Club,591,282,67.7%,433,181,70.5%,158,101,61.0%
"
                    Claire Teresa Galavotti",The Ohio State University NCAA / RedStar Fencing Club Chicago,382,260,59.5%,286,188,60.3%,96,72,57.1%
"
                    Jason Ferguson",Wasatch Fencing,47,74,38.8%,39,57,40.6%,8,17,32.0%
"
                    Oliver Cao",Laguna Fencing Center,161,145,52.6%,121,107,53.1%,40,38,51.3%
"
                    Boden Lai",Marx Fencing Academy / Cavalier Fencing Club,694,496,58.3%,503,352,58.8%,191,144,57.0%
"
                    Lauren Banks",University Of North Carolina/Chapel Hill NCAA / Elite Fencing Academy (GA),116,152,43.3%,93,117,44.3%,23,35,39.7%
"
                    William Chow",Laguna Fencing Center,308,214,59.0%,221,151,59.4%,87,63,58.0%
"
                    Ethan Hublall",Globus Fencing Academy,152,128,54.3%,113,93,54.9%,39,35,52.7%
"
                    Marc Bartels",Metro Tacoma Fencing Club / Kaizen Academy LLC,189,190,49.9%,152,141,51.9%,37,49,43.0%
"
                    Helena Castano",Olympian Fencing Club,2,5,28.6%,2,4,33.3%,-,1,0.0%
"
                    Stephen Olson",Manchen Academy Of Fencing,81,12,87.1%,55,5,91.7%,26,7,78.8%
"
                    Andrew Smith",Birmingham Fencing Club,50,23,68.5%,34,14,70.8%,16,9,64.0%
"
                    Sophia Lai",Fencing Institute Of Texas / Austin Fencers Club,498,296,62.7%,368,206,64.1%,130,90,59.1%
"
                    Elizabeth He",Princeton University NCAA / Space City Fencing Academy,328,100,76.6%,230,54,81.0%,98,46,68.1%
"
                    Will Attig",University Of Notre Dame NCAA / Oregon Fencing Alliance,159,92,63.3%,120,61,66.3%,39,31,55.7%
"
                    Tanya Dhaiya",Marx Fencing Academy,254,200,55.9%,186,143,56.5%,68,57,54.4%
"
                    Ethan Capra",Austin Fencers Club,175,203,46.3%,147,149,49.7%,28,54,34.1%
"
                    Eric Kitagawa",New Jersey Fencing Alliance,242,318,43.2%,193,252,43.4%,49,66,42.6%
"
                    Tanner Burr",Phoenix Fencing Academy,85,79,51.8%,63,61,50.8%,22,18,55.0%
"
                    AI JIA TANG",Rhode Island Fencing Academy And Club,48,54,47.1%,38,42,47.5%,10,12,45.5%
"
                    Jun Ho CHEN",Rockland Fencers Club,312,389,44.5%,262,292,47.3%,50,97,34.0%
"
                    Birch (Lance) McGee-Lane",Vermont Fencing Alliance,-,-,-,-,-,-,-,-,-
"
                    Terence Jiang",Platinum Fencing Academy,47,154,23.4%,38,125,23.3%,9,29,23.7%
"
                    John Jones",Tanner City Fencers Club / Marx Fencing Academy,23,37,38.3%,15,29,34.1%,8,8,50.0%
"
                    Eugenie Cha",Maximum Fencing Club,255,272,48.4%,198,208,48.8%,57,64,47.1%
"
                    Ian Wilson",Boston Fencing Club,5,9,35.7%,4,7,36.4%,1,2,33.3%
"
                    Ryan Wright",Texas Fencing Academy,12,3,80.0%,9,1,90.0%,3,2,60.0%
"
                    Jordan Ginsberg",Sheridan Fencing Academy / Sheridan Fencing Academy of Westchester,178,149,54.4%,143,108,57.0%,35,41,46.1%
"
                    Colin Wu",North Shore Fencers Club,166,203,45.0%,121,157,43.5%,45,46,49.5%
"
                    Lev BenAvram",Nazlymov Fencing Foundation / National Capital Fencers Club,448,147,75.3%,294,90,76.6%,154,57,73.0%
"
                    Walter Dragonetti",Battle Born Fencing Club / Hooked On Fencing,123,20,86.0%,69,13,84.1%,54,7,88.5%
"
                    Stella Yu",LA Fencing Academy of Pomona,111,121,47.8%,83,90,48.0%,28,31,47.5%
"
                    Zitong (Meya) Lei",Laguna Fencing Center / Harvard-Westlake High School Wolverines,227,110,67.4%,162,72,69.2%,65,38,63.1%
"
                    Reynaldo Lopez",Heartland Fencing Academy,-,-,-,-,-,-,-,-,-
"
                    Aarav Doddapaneni",Maximum Fencing Club,187,133,58.4%,139,95,59.4%,48,38,55.8%
"
                    Sam Roberts",Phoenix Fencing Academy,180,111,61.9%,131,83,61.2%,49,28,63.6%
"
                    William Neice",Northwest Fencing Center / Northwest Fencing Center,213,179,54.3%,155,131,54.2%,58,48,54.7%
"
                    Arisu Jeong",Olympic Fencers Club / Olympic Fencers Club,22,38,36.7%,16,30,34.8%,6,8,42.9%
"
                    Adam Zhao",Birmingham Fencing Club,574,360,61.5%,440,244,64.3%,134,116,53.6%
"
                    Lefu Chen",North Shore Fencers Club / Allegro Fencing Center,477,188,71.7%,318,120,72.6%,159,68,70.0%
"
                    Yurii Dzhus",Maximum Fencing Club,16,4,80.0%,10,2,83.3%,6,2,75.0%
"
                    James Askew",Omaha Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Alina Zhang",Tim Morehouse Fencing Club (Port Chester),736,308,70.5%,528,188,73.7%,208,120,63.4%
"
                    Michael Facci",Forge Fencing Teams / Rochester Fencing Club,3,4,42.9%,3,3,50.0%,-,1,0.0%
"
                    Norah Vaughan",Birmingham Fencing Club,316,260,54.9%,243,185,56.8%,73,75,49.3%
"
                    Kylie Tan",Nellya Fencers,79,101,43.9%,59,78,43.1%,20,23,46.5%
"
                    Andrew Yurovchak",Marx Fencing Academy,265,118,69.2%,183,79,69.8%,82,39,67.8%
"
                    Carlos Grodman",New Jersey Fencing Alliance,5,9,35.7%,3,7,30.0%,2,2,50.0%
"
                    Philip Brennan",Manchen Academy Of Fencing,57,51,52.8%,49,36,57.6%,8,15,34.8%
"
                    Velma Hall",Columbus Fencing And Fitness LLC,475,213,69.0%,346,139,71.3%,129,74,63.5%
"
                    Norah Chang",Nazlymov Fencing Foundation,81,102,44.3%,59,77,43.4%,22,25,46.8%
"
                    Jaesun Yun",Southern California Fencing Academy (SOCALFA),461,134,77.5%,303,74,80.4%,158,60,72.5%
"
                    Colin Yu",Boston College NCAA / Marx Fencing Academy,254,117,68.5%,188,77,70.9%,66,40,62.3%
"
                    William Richmond",Northwest Fencing Center,-,-,-,-,-,-,-,-,-
"
                    Sophie Zhuang",Columbus Fencing And Fitness LLC,84,163,34.0%,62,131,32.1%,22,32,40.7%
"
                    David Baraff",East Bay Fencers Gym,44,103,29.9%,34,82,29.3%,10,21,32.3%
"
                    Eleksi Bolton",Phoenix Fencing Academy,68,134,33.7%,58,116,33.3%,10,18,35.7%
"
                    Justin Lee",Nazlymov Fencing Foundation / Nazlymov Fencing Foundation,460,282,62.0%,339,195,63.5%,121,87,58.2%
"
                    Matthew Chan",Advance Fencing And Fitness Academy,615,296,67.5%,428,197,68.5%,187,99,65.4%
"
                    Lanting Wu",Cardinal Fencing Club,116,125,48.1%,93,94,49.7%,23,31,42.6%
"
                    Nicholas Jackson",Vivo Fencing Club,60,126,32.3%,48,99,32.7%,12,27,30.8%
"
                    Ethan Insler",Rhode Island Fencing Academy And Club,536,287,65.1%,388,195,66.6%,148,92,61.7%
"
                    Peter Horak",Moe Fencing Club LLC,4,10,28.6%,3,9,25.0%,1,1,50.0%
"
                    Matthew Rodrigues",New Jersey Fencing Alliance,8,5,61.5%,8,3,72.7%,-,2,0.0%
"
                    Gloria Ruoyan Wang",Culver Military Academy / LA Fencing Academy of Pomona,141,71,66.5%,95,54,63.8%,46,17,73.0%
"
                    Ryan Stevenson",Rhode Island Fencing Academy And Club,24,20,54.5%,17,15,53.1%,7,5,58.3%
"
                    Owen Li",Moe Fencing Club LLC,512,241,68.0%,370,157,70.2%,142,84,62.8%
"
                    Lucas Sun",North Shore Fencers Club,16,14,53.3%,12,10,54.5%,4,4,50.0%
"
                    Andrew Baiza",Olympian Fencing Club / Texas State University Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Charmaine Andres",Southern California Fencing Academy (SOCALFA),720,295,70.9%,482,189,71.8%,238,106,69.2%
"
                    Kimberly Klein-Braddock",Oregon Fencing Alliance,42,30,58.3%,32,22,59.3%,10,8,55.6%
"
                    Sarah Zeng",Bergen Fencing Club,380,210,64.4%,265,141,65.3%,115,69,62.5%
"
                    Jonathan Chen",Advance Fencing And Fitness Academy,258,192,57.3%,193,135,58.8%,65,57,53.3%
"
                    Derek Rebello",Phoenix Fencing Academy,67,67,50.0%,53,51,51.0%,14,16,46.7%
"
                    Donovan Deans",Team Touche Fencing Center,118,26,81.9%,76,14,84.4%,42,12,77.8%
"
                    Calleigh Tracz",Rochester Fencing Club / Rochester Fencing Club,283,308,47.9%,215,236,47.7%,68,72,48.6%
"
                    Andrew Stencel",Illinois Fencing Academy,78,91,46.2%,64,69,48.1%,14,22,38.9%
"
                    Zachary Luhan",Oregon Fencing Alliance,217,166,56.7%,162,117,58.1%,55,49,52.9%
"
                    William Firstman",Nellya Fencers,87,84,50.9%,68,61,52.7%,19,23,45.2%
"
                    Xiangdong Wang",Cavalier Fencing Club,23,42,35.4%,19,33,36.5%,4,9,30.8%
"
                    Carver Harr",Denver Fencing Center,270,255,51.4%,215,187,53.5%,55,68,44.7%
"
                    Jennifer Oldham",Forge Fencing Teams,7,1,87.5%,4,-,100.0%,3,1,75.0%
"
                    Alexander Dao",Battle Born Fencing Club,306,351,46.6%,227,271,45.6%,79,80,49.7%
"
                    San Choi",Battle Born Fencing Club,93,150,38.3%,71,120,37.2%,22,30,42.3%
"
                    Ellen Finnegan",Riverside Fencing Club / International Fencing Club,86,105,45.0%,67,77,46.5%,19,28,40.4%
"
                    Rodrigo Fernandez",Nellya Fencers / University Of Notre Dame NCAA,316,126,71.5%,223,77,74.3%,93,49,65.5%
"
                    Bridgette Ouyang",Star Fencing Academy,466,238,66.2%,343,154,69.0%,123,84,59.4%
"
                    Ashley Young",Battle Born Fencing Club,73,66,52.5%,61,47,56.5%,12,19,38.7%
"
                    Lukas Jimenez",Brooklyn Bridge Fencing Club,60,31,65.9%,40,21,65.6%,20,10,66.7%
"
                    Douglas Miller",RedStar Fencing Club Chicago,58,33,63.7%,50,21,70.4%,8,12,40.0%
"
                    ZIXI ZOU",Cavalier Fencing Club / Cavalier Fencing Club,39,18,68.4%,25,12,67.6%,14,6,70.0%
"
                    Natalie Chaykina",Indianapolis Fencing Club,26,59,30.6%,22,47,31.9%,4,12,25.0%
"
                    Ammon Fillmore",Indianapolis Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Joe Gumprich",Richmond Fencing Club / University of Virginia Fencing Club,32,15,68.1%,24,10,70.6%,8,5,61.5%
"
                    David Dimmett",Richmond Fencing Club,65,15,81.2%,42,8,84.0%,23,7,76.7%
"
                    Michael DiMatteo",Candlewood Fencing Center,110,142,43.7%,88,109,44.7%,22,33,40.0%
"
                    James Simoni",The Fencing Center,22,164,11.8%,17,136,11.1%,5,28,15.2%
"
                    Nathan Peters",Freehold Fencing Academy / Virginia Tech Fencing Club,279,160,63.6%,191,120,61.4%,88,40,68.8%
"
                    XIANGQIAN LING",Maximum Fencing Club,24,7,77.4%,13,5,72.2%,11,2,84.6%
"
                    Naomi Miller",Marx Fencing Academy,470,290,61.8%,351,194,64.4%,119,96,55.3%
"
                    Aidan Lee",AIC  Fencing Club,650,317,67.2%,470,210,69.1%,180,107,62.7%
"
                    Forest Walton",Escrime Du Lac / Seacoast Fencing Club,7,1,87.5%,6,-,100.0%,1,1,50.0%
"
                    Jen Olsen",Boston Fencing Club,97,76,56.1%,73,55,57.0%,24,21,53.3%
"
                    Andrei Jaume",Austin Fencers Club,278,219,55.9%,204,167,55.0%,74,52,58.7%
"
                    Kunling Tong",Nellya Fencers,278,145,65.7%,215,95,69.4%,63,50,55.8%
"
                    Maia Peck",Team Touche Fencing Center,242,145,62.5%,180,103,63.6%,62,42,59.6%
"
                    Daniel Hergan",Culver Military Academy / Fencing Center Of Chicago,58,50,53.7%,42,38,52.5%,16,12,57.1%
"
                    Campbell Blanks",Chesapeake Fencing Club,40,45,47.1%,29,36,44.6%,11,9,55.0%
"
                    Samuel Thomas",Fencing Club at Indiana University / Indianapolis Fencing Club,154,63,71.0%,106,39,73.1%,48,24,66.7%
"
                    Maxim Boukhtin",Columbus Fencing And Fitness LLC,256,190,57.4%,203,135,60.1%,53,55,49.1%
"
                    SAMARTH MAHAPATRA",Nellya Fencers,199,202,49.6%,159,150,51.5%,40,52,43.5%
"
                    Vivian Lu",University Of Pennsylvania NCAA / Oregon Fencing Alliance,298,107,73.6%,224,59,79.2%,74,48,60.7%
"
                    Aiden Song",Fencing Institute Of Texas / Austin Fencers Club,731,271,73.0%,522,173,75.1%,209,98,68.1%
"
                    Tyler Rodriguez",Massialas Foundation (M Team),331,184,64.3%,248,121,67.2%,83,63,56.8%
"
                    Maverick Doherty",South Bay Fencing Academy,80,40,66.7%,61,27,69.3%,19,13,59.4%
"
                    Andy Kim",Space City Fencing Academy,77,103,42.8%,63,77,45.0%,14,26,35.0%
"
                    Amy Amirault",Kaizen Academy LLC,26,82,24.1%,23,65,26.1%,3,17,15.0%
"
                    Alexandra Tzou",Sheridan Fencing Academy,377,153,71.1%,259,95,73.2%,118,58,67.0%
"
                    Elizaveta Bogdanovskaya",Penta Olympic Fencing Club,81,150,35.1%,69,118,36.9%,12,32,27.3%
"
                    Sergei Gubarev",North Shore Fencers Club,-,-,-,-,-,-,-,-,-
"
                    Ryan Kim",The Fencing Center,93,133,41.2%,74,107,40.9%,19,26,42.2%
"
                    Alexander Mitev",Windy City Fencing-Chicago,298,224,57.1%,213,162,56.8%,85,62,57.8%
"
                    Wesley Doran",Austin Fencers Club,510,267,65.6%,371,186,66.6%,139,81,63.2%
"
                    Zinnun Malikov",Elite Fencing Academy (GA),99,103,49.0%,75,74,50.3%,24,29,45.3%
"
                    Phillip Nunnink",Heartland Fencing Academy,182,79,69.7%,130,50,72.2%,52,29,64.2%
"
                    Sascha Miller",LA Fencing Academy of Pomona,17,14,54.8%,13,10,56.5%,4,4,50.0%
"
                    Haashir Idris",Columbus Fencing And Fitness LLC,39,65,37.5%,32,53,37.6%,7,12,36.8%
"
                    Howard Li",LA Fencing Academy of Pomona,459,87,84.1%,277,48,85.2%,182,39,82.4%
"
                    Zachary Hansen",Wasatch Fencing / Valkyrie Fencing Club,43,4,91.5%,26,1,96.3%,17,3,85.0%
"
                    Eli Weise",Kaizen Academy LLC / Vassar College Fencing Club NCAA,192,132,59.3%,138,96,59.0%,54,36,60.0%
"
                    CJ Maxwell",Foothills Fencing Academy,94,54,63.5%,70,36,66.0%,24,18,57.1%
"
                    Cody Pierce",Austin Fencers Club,91,151,37.6%,72,119,37.7%,19,32,37.3%
"
                    June Browner",Oregon Fencing Alliance,104,128,44.8%,80,100,44.4%,24,28,46.2%
"
                    Dusty (Allen) Reed",Indianapolis Fencing Club,121,85,58.7%,88,58,60.3%,33,27,55.0%
"
                    Ella Whitesides",Wasatch Fencing,118,159,42.6%,94,119,44.1%,24,40,37.5%
